cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 0, 0, 0, 1, 1
2, 0, 0, 1, 0, 0, 1, 0.5
3, 0, 1, 1, 0, 0, 2, 0.666667
4, 0, 0, 1, 0, 0, 2, 0.5
5, 0, 0, 1, 0, 0, 2, 0.4
6, 0, 0, 1, 0, 0, 2, 0.333333
7, 0, 0, 1, 0, 0, 2, 0.285714
8, 0, 0, 0, 0, 0, 2, 0.25
9, 0, 1, 0, 0, 0, 3, 0.333333
10, 0, 0, 0, 0, 0, 3, 0.3
11, 0, 0, 1, 0, 0, 3, 0.272727
12, 0, 0, 1, 0, 0, 3, 0.25
13, 0, 1, 0, 0, 0, 4, 0.307692
14, 0, 0, 1, 0, 0, 4, 0.285714
15, 0, 1, 1, 0, 0, 5, 0.333333
16, 0, 0, 1, 0, 0, 5, 0.3125
17, 0, 0, 1, 0, 0, 5, 0.294118
18, 0, 0, 1, 0, 0, 5, 0.277778
19, 0, 0, 0, 0, 0, 5, 0.263158
20, 0, 1, 0, 0, 0, 6, 0.3
21, 0, 0, 1, 0, 0, 6, 0.285714
22, 0, 1, 0, 0, 0, 7, 0.318182
23, 0, 0, 0, 0, 0, 7, 0.304348
24, 0, 0, 1, 0, 0, 7, 0.291667
25, 0, 0, 0, 0, 0, 7, 0.28
26, 0, 0, 1, 0, 0, 7, 0.269231
27, 0, 0, 1, 0, 0, 7, 0.259259
28, 0, 1, 1, 0, 0, 8, 0.285714
29, 0, 0, 1, 0, 0, 8, 0.275862
30, 0, 0, 1, 0, 0, 8, 0.266667
31, 0, 0, 1, 0, 0, 8, 0.258065
32, 0, 0, 1, 0, 0, 8, 0.25
33, 0, 0, 0, 0, 0, 8, 0.242424
34, 0, 1, 0, 0, 0, 9, 0.264706
35, 0, 0, 0, 0, 0, 9, 0.257143
36, 0, 0, 1, 0, 0, 9, 0.25
37, 0, 0, 0, 0, 0, 9, 0.243243
38, 0, 0, 0, 0, 0, 9, 0.236842
39, 0, 0, 1, 0, 0, 9, 0.230769
40, 0, 0, 0, 0, 0, 9, 0.225
41, 0, 0, 0, 0, 0, 9, 0.219512
42, 0, 0, 1, 0, 0, 9, 0.214286
43, 0, 0, 1, 0, 0, 9, 0.209302
44, 0, 1, 0, 0, 0, 10, 0.227273
45, 0, 0, 1, 0, 0, 10, 0.222222
46, 0, 1, 0, 0, 0, 11, 0.23913
47, 0, 0, 1, 0, 0, 11, 0.234043
48, 0, 1, 0, 0, 0, 12, 0.25
49, 0, 0, 1, 0, 0, 12, 0.244898
50, 0, 1, 1, 0, 0, 13, 0.26
51, 0, 0, 1, 0, 0, 13, 0.254902
52, 0, 0, 1, 0, 0, 13, 0.25
53, 0, 0, 1, 0, 0, 13, 0.245283
54, 0, 0, 1, 0, 0, 13, 0.240741
55, 0, 0, 1, 0, 0, 13, 0.236364
56, 0, 0, 1, 0, 0, 13, 0.232143
57, 0, 0, 0, 0, 0, 13, 0.22807
58, 0, 1, 0, 0, 0, 14, 0.241379
59, 0, 0, 0, 0, 0, 14, 0.237288
60, 0, 0, 0, 0, 0, 14, 0.233333
61, 0, 0, 0, 0, 0, 14, 0.229508
62, 0, 0, 1, 0, 0, 14, 0.225806
63, 0, 0, 1, 0, 0, 14, 0.222222
64, 0, 1, 0, 0, 0, 15, 0.234375
65, 0, 0, 0, 0, 0, 15, 0.230769
66, 0, 0, 1, 0, 0, 15, 0.227273
67, 0, 0, 1, 0, 0, 15, 0.223881
68, 0, 1, 0, 0, 0, 16, 0.235294
69, 0, 0, 1, 0, 0, 16, 0.231884
70, 0, 1, 0, 0, 0, 17, 0.242857
71, 0, 0, 1, 0, 0, 17, 0.239437
72, 0, 1, 0, 0, 0, 18, 0.25
73, 0, 0, 1, 0, 0, 18, 0.246575
74, 0, 1, 0, 0, 0, 19, 0.256757
75, 0, 0, 1, 0, 0, 19, 0.253333
76, 0, 1, 0, 0, 0, 20, 0.263158
77, 0, 0, 1, 0, 0, 20, 0.25974
78, 0, 1, 0, 0, 0, 21, 0.269231
79, 0, 0, 1, 0, 0, 21, 0.265823
80, 0, 1, 0, 0, 0, 22, 0.275
81, 0, 0, 1, 0, 0, 22, 0.271605
82, 0, 1, 0, 0, 0, 23, 0.280488
83, 0, 0, 1, 0, 0, 23, 0.277108
84, 0, 1, 0, 0, 0, 24, 0.285714
85, 0, 0, 1, 0, 0, 24, 0.282353
86, 0, 1, 0, 0, 0, 25, 0.290698
87, 0, 0, 1, 0, 0, 25, 0.287356
88, 0, 1, 0, 0, 0, 26, 0.295455
89, 0, 0, 1, 0, 0, 26, 0.292135
90, 0, 1, 0, 0, 0, 27, 0.3
91, 0, 0, 1, 0, 0, 27, 0.296703
92, 0, 1, 0, 0, 0, 28, 0.304348
93, 0, 0, 1, 0, 0, 28, 0.301075
94, 0, 1, 0, 0, 0, 29, 0.308511
95, 0, 0, 1, 0, 0, 29, 0.305263
96, 0, 1, 0, 0, 0, 30, 0.3125
97, 0, 0, 1, 0, 0, 30, 0.309278
98, 0, 1, 0, 0, 0, 31, 0.316327
99, 0, 0, 1, 0, 0, 31, 0.313131
100, 0, 1, 0, 0, 0, 32, 0.32
101, 0, 0, 1, 0, 0, 32, 0.316832
102, 0, 1, 0, 0, 0, 33, 0.323529
103, 0, 0, 1, 0, 0, 33, 0.320388
104, 0, 1, 0, 0, 0, 34, 0.326923
105, 0, 0, 1, 0, 0, 34, 0.32381
106, 0, 1, 0, 0, 0, 35, 0.330189
107, 0, 0, 1, 0, 0, 35, 0.327103
108, 0, 1, 0, 0, 0, 36, 0.333333
109, 0, 0, 1, 0, 0, 36, 0.330275
110, 0, 1, 0, 0, 0, 37, 0.336364
111, 0, 0, 1, 0, 0, 37, 0.333333
112, 0, 1, 0, 0, 0, 38, 0.339286
113, 0, 0, 1, 0, 0, 38, 0.336283
114, 0, 1, 0, 0, 0, 39, 0.342105
115, 0, 0, 1, 0, 0, 39, 0.33913
116, 0, 1, 0, 0, 0, 40, 0.344828
117, 0, 0, 1, 0, 0, 40, 0.34188
118, 0, 1, 0, 0, 0, 41, 0.347458
119, 0, 0, 1, 0, 0, 41, 0.344538
120, 0, 1, 0, 0, 0, 42, 0.35
121, 0, 0, 1, 0, 0, 42, 0.347107
122, 0, 1, 0, 0, 0, 43, 0.352459
123, 0, 0, 1, 0, 0, 43, 0.349593
124, 0, 1, 0, 0, 0, 44, 0.354839
125, 0, 0, 1, 0, 0, 44, 0.352
126, 0, 1, 0, 0, 0, 45, 0.357143
127, 0, 0, 1, 0, 0, 45, 0.354331
128, 0, 1, 0, 0, 0, 46, 0.359375
129, 0, 0, 1, 0, 0, 46, 0.356589
130, 0, 1, 0, 0, 0, 47, 0.361538
131, 0, 0, 1, 0, 0, 47, 0.358779
132, 0, 1, 0, 0, 0, 48, 0.363636
133, 0, 0, 1, 0, 0, 48, 0.360902
134, 0, 1, 0, 0, 0, 49, 0.365672
135, 0, 0, 1, 0, 0, 49, 0.362963
136, 0, 1, 0, 0, 0, 50, 0.367647
137, 0, 0, 1, 0, 0, 50, 0.364964
138, 0, 1, 0, 0, 0, 51, 0.369565
139, 0, 0, 1, 0, 0, 51, 0.366906
140, 0, 1, 0, 0, 0, 52, 0.371429
141, 0, 0, 1, 0, 0, 52, 0.368794
142, 0, 1, 0, 0, 0, 53, 0.373239
143, 0, 0, 1, 0, 0, 53, 0.370629
144, 0, 1, 0, 0, 0, 54, 0.375
145, 0, 0, 1, 0, 0, 54, 0.372414
146, 0, 1, 0, 0, 0, 55, 0.376712
147, 0, 0, 1, 0, 0, 55, 0.37415
148, 0, 1, 1, 0, 0, 56, 0.378378
149, 0, 0, 1, 0, 0, 56, 0.375839
150, 0, 0, 1, 0, 0, 56, 0.373333
151, 0, 0, 1, 0, 0, 56, 0.370861
152, 0, 0, 1, 0, 0, 56, 0.368421
153, 0, 0, 1, 0, 0, 56, 0.366013
154, 0, 0, 1, 0, 0, 56, 0.363636
155, 0, 0, 1, 0, 0, 56, 0.36129
156, 0, 0, 1, 0, 0, 56, 0.358974
157, 0, 0, 1, 0, 0, 56, 0.356688
158, 0, 0, 1, 0, 0, 56, 0.35443
159, 0, 0, 1, 0, 0, 56, 0.352201
160, 0, 0, 1, 0, 0, 56, 0.35
161, 0, 0, 1, 0, 0, 56, 0.347826
162, 0, 0, 1, 0, 0, 56, 0.345679
163, 0, 0, 1, 0, 0, 56, 0.343558
164, 0, 0, 1, 0, 0, 56, 0.341463
165, 0, 0, 1, 0, 0, 56, 0.339394
166, 0, 0, 1, 0, 0, 56, 0.337349
167, 0, 0, 1, 0, 0, 56, 0.335329
168, 0, 0, 1, 0, 0, 56, 0.333333
169, 0, 0, 1, 0, 0, 56, 0.331361
170, 0, 0, 1, 0, 0, 56, 0.329412
171, 0, 0, 1, 0, 0, 56, 0.327485
