cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 2, 0, 0.1, 0, 0
2, 0, 0, 1, 0, 0.1, 0, 0
3, 0, 2, 1, 0, 0.1, 2, 0.666667
4, 0, 2, 1, 0, 0.1, 4, 1
5, 0, 2, 1, 0, 0.1, 6, 1.2
6, 2, 0, 2, 1, 0.1, 6, 1
7, 1, 2, 1, 0, 0.1, 8, 1.14286
8, 0, 2, 1, 1, 0.1, 10, 1.25
9, 0, 2, 1, 0, 0.1, 12, 1.33333
10, 0, 2, 1, 0, 0.1, 14, 1.4
11, 0, 2, 1, 0, 0.1, 16, 1.45455
12, 2, 0, 1, 0, 0.1, 16, 1.33333
13, 0, 2, 1, 0, 0.1, 18, 1.38462
14, 2, 0, 1, 0, 0.1, 18, 1.28571
15, 1, 1, 1, 0, 0.1, 19, 1.26667
16, 0, 2, 0, 0, 0.1, 21, 1.3125
17, 1, 0, 1, 0, 0.1, 21, 1.23529
18, 1, 1, 1, 0, 0.1, 22, 1.22222
19, 2, 0, 1, 0, 0.1, 22, 1.15789
20, 0, 2, 0, 0, 0.1, 24, 1.2
21, 2, 2, 0, 0, 0.1, 26, 1.2381
22, 0, 1, 1, 0, 0.1, 27, 1.22727
23, 2, 0, 1, 0, 0.1, 27, 1.17391
24, 0, 2, 1, 0, 0.1, 29, 1.20833
25, 0, 2, 1, 0, 0.1, 31, 1.24
26, 0, 2, 1, 0, 0.1, 33, 1.26923
27, 1, 1, 1, 0, 0.1, 34, 1.25926
28, 2, 0, 0, 1, 0.1, 34, 1.21429
29, 1, 0, 1, 0, 0.1, 34, 1.17241
30, 0, 2, 1, 0, 0.1, 36, 1.2
31, 2, 0, 1, 0, 0.1, 36, 1.16129
32, 2, 0, 1, 0, 0.1, 36, 1.125
33, 0, 2, 0, 0, 0.1, 38, 1.15152
34, 0, 1, 1, 0, 0.1, 39, 1.14706
35, 1, 1, 1, 0, 0.1, 40, 1.14286
36, 1, 1, 1, 0, 0.1, 41, 1.13889
37, 1, 1, 1, 0, 0.1, 42, 1.13514
38, 0, 2, 0, 0, 0.1, 44, 1.15789
39, 0, 1, 1, 0, 0.1, 45, 1.15385
40, 0, 2, 0, 0, 0.1, 47, 1.175
41, 0, 1, 1, 1, 0.1, 48, 1.17073
42, 2, 0, 1, 0, 0.1, 48, 1.14286
43, 0, 2, 1, 0, 0.1, 50, 1.16279
44, 1, 1, 1, 0, 0.1, 51, 1.15909
45, 1, 1, 1, 0, 0.1, 52, 1.15556
46, 2, 0, 1, 0, 0.1, 52, 1.13043
47, 2, 0, 1, 0, 0.1, 52, 1.10638
48, 0, 2, 1, 0, 0.1, 54, 1.125
49, 2, 0, 1, 0, 0.1, 54, 1.10204
50, 1, 1, 1, 0, 0.1, 55, 1.1
51, 0, 2, 1, 0, 0.1, 57, 1.11765
52, 1, 1, 1, 0, 0.1, 58, 1.11538
53, 1, 1, 1, 0, 0.1, 59, 1.11321
54, 1, 1, 1, 0, 0.1, 60, 1.11111
55, 2, 0, 1, 0, 0.1, 60, 1.09091
56, 1, 1, 1, 0, 0.1, 61, 1.08929
57, 1, 1, 0, 1, 0.1, 62, 1.08772
58, 2, 2, 0, 0, 0.1, 64, 1.10345
59, 1, 0, 1, 0, 0.1, 64, 1.08475
60, 0, 2, 2, 0, 0.1, 66, 1.1
61, 1, 2, 0, 0, 0.1, 68, 1.11475
62, 0, 1, 1, 0, 0.1, 69, 1.1129
63, 1, 1, 1, 0, 0.1, 70, 1.11111
64, 0, 2, 0, 0, 0.1, 72, 1.125
65, 0, 1, 1, 1, 0.1, 73, 1.12308
66, 2, 0, 1, 0, 0.1, 73, 1.10606
