cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 2, 0, 0, 0, 0
2, 2, 1, 1, 0, 0, 1, 0.5
3, 2, 0, 2, 0, 0, 1, 0.333333
4, 2, 1, 1, 0, 0, 2, 0.5
5, 2, 0, 1, 0, 0, 2, 0.4
6, 0, 2, 2, 0, 0, 4, 0.666667
7, 1, 2, 0, 0, 0, 6, 0.857143
8, 2, 2, 1, 0, 0, 8, 1
9, 2, 0, 0, 0, 0, 8, 0.888889
10, 2, 2, 0, 0, 0, 10, 1
11, 0, 1, 0, 0, 0, 11, 1
12, 0, 1, 0, 0, 0, 12, 1
13, 1, 0, 0, 0, 0, 12, 0.923077
14, 2, 2, 1, 0, 0, 14, 1
15, 0, 2, 2, 0, 0, 16, 1.06667
16, 0, 0, 2, 0, 0, 16, 1
17, 0, 0, 0, 0, 0, 16, 0.941176
18, 0, 1, 1, 0, 0, 17, 0.944444
19, 0, 2, 1, 0, 0, 19, 1
20, 0, 2, 1, 0, 0, 21, 1.05
21, 1, 1, 1, 0, 0, 22, 1.04762
22, 2, 0, 2, 0, 0, 22, 1
23, 0, 0, 1, 0, 0, 22, 0.956522
24, 0, 2, 1, 0, 0, 24, 1
25, 1, 1, 0, 0, 0, 25, 1
26, 2, 2, 2, 0, 0, 27, 1.03846
27, 2, 1, 0, 0, 0, 28, 1.03704
28, 2, 2, 1, 0, 0, 30, 1.07143
29, 0, 2, 1, 0, 0, 32, 1.10345
30, 0, 2, 1, 0, 0, 34, 1.13333
31, 1, 1, 1, 0, 0, 35, 1.12903
32, 1, 1, 0, 0, 0, 36, 1.125
33, 2, 2, 1, 0, 0, 38, 1.15152
34, 2, 0, 1, 0, 0, 38, 1.11765
35, 1, 1, 0, 0, 0, 39, 1.11429
36, 1, 0, 1, 0, 0, 39, 1.08333
37, 0, 2, 1, 0, 0, 41, 1.10811
38, 2, 0, 1, 0, 0, 41, 1.07895
39, 2, 0, 1, 0, 0, 41, 1.05128
40, 1, 1, 1, 0, 0, 42, 1.05
41, 2, 0, 1, 0, 0, 42, 1.02439
42, 0, 2, 1, 0, 0, 44, 1.04762
43, 1, 1, 1, 0, 0, 45, 1.04651
44, 0, 2, 1, 0, 0, 47, 1.06818
45, 0, 2, 0, 0, 0, 49, 1.08889
46, 2, 2, 1, 0, 0, 51, 1.1087
47, 2, 0, 1, 0, 0, 51, 1.08511
48, 1, 1, 0, 0, 0, 52, 1.08333
49, 2, 2, 1, 0, 0, 54, 1.10204
50, 1, 1, 0, 0, 0, 55, 1.1
51, 0, 1, 1, 0, 0, 56, 1.09804
52, 1, 1, 1, 0, 0, 57, 1.09615
53, 0, 2, 0, 0, 0, 59, 1.11321
54, 1, 0, 0, 0, 0, 59, 1.09259
55, 1, 0, 1, 0, 0, 59, 1.07273
56, 1, 1, 1, 0, 0, 60, 1.07143
57, 1, 1, 1, 0, 0, 61, 1.07018
58, 0, 2, 0, 0, 0, 63, 1.08621
59, 2, 2, 1, 0, 0, 65, 1.10169
60, 2, 0, 1, 0, 0, 65, 1.08333
61, 2, 0, 1, 0, 0, 65, 1.06557
62, 0, 2, 0, 0, 0, 67, 1.08065
63, 0, 1, 1, 0, 0, 68, 1.07937
64, 1, 1, 0, 0, 0, 69, 1.07812
65, 0, 1, 1, 0, 0, 70, 1.07692
66, 2, 0, 1, 0, 0, 70, 1.06061
67, 2, 0, 1, 0, 0, 70, 1.04478
68, 2, 0, 0, 0, 0, 70, 1.02941
69, 0, 1, 1, 0, 0, 71, 1.02899
70, 2, 0, 1, 0, 0, 71, 1.01429
71, 2, 0, 1, 0, 0, 71, 1
72, 2, 0, 1, 0, 0, 71, 0.986111
73, 1, 1, 1, 0, 0, 72, 0.986301
74, 2, 0, 0, 0, 0, 72, 0.972973
75, 2, 2, 0, 0, 0, 74, 0.986667
76, 1, 0, 0, 0, 0, 74, 0.973684
77, 0, 1, 1, 0, 0, 75, 0.974026
78, 0, 2, 0, 0, 0, 77, 0.987179
79, 0, 1, 1, 0, 0, 78, 0.987342
80, 0, 2, 0, 0, 0, 80, 1
81, 2, 2, 1, 0, 0, 82, 1.01235
82, 0, 2, 0, 0, 0, 84, 1.02439
83, 2, 2, 1, 0, 0, 86, 1.03614
84, 0, 2, 0, 0, 0, 88, 1.04762
85, 1, 0, 1, 0, 0, 88, 1.03529
86, 2, 0, 0, 0, 0, 88, 1.02326
87, 2, 2, 1, 0, 0, 90, 1.03448
88, 1, 1, 1, 0, 0, 91, 1.03409
89, 0, 2, 1, 0, 0, 93, 1.04494
90, 1, 1, 1, 0, 0, 94, 1.04444
91, 0, 2, 0, 0, 0, 96, 1.05495
92, 0, 1, 1, 0, 0, 97, 1.05435
93, 1, 1, 0, 0, 0, 98, 1.05376
94, 0, 1, 0, 0, 0, 99, 1.05319
95, 0, 1, 1, 0, 0, 100, 1.05263
96, 0, 2, 1, 0, 0, 102, 1.0625
97, 2, 0, 1, 0, 0, 102, 1.05155
98, 0, 2, 0, 0, 0, 104, 1.06122
99, 0, 1, 0, 0, 0, 105, 1.06061
100, 0, 1, 1, 0, 0, 106, 1.06
101, 1, 1, 0, 0, 0, 107, 1.05941
102, 2, 2, 1, 0, 0, 109, 1.06863
103, 0, 2, 0, 0, 0, 111, 1.07767
104, 0, 1, 1, 0, 0, 112, 1.07692
105, 1, 1, 1, 0, 0, 113, 1.07619
106, 0, 2, 1, 0, 0, 115, 1.08491
107, 0, 2, 0, 0, 0, 117, 1.09346
108, 1, 0, 1, 0, 0, 117, 1.08333
109, 1, 1, 1, 0, 0, 118, 1.08257
110, 1, 1, 1, 0, 0, 119, 1.08182
111, 1, 1, 1, 0, 0, 120, 1.08108
112, 1, 1, 1, 0, 0, 121, 1.08036
113, 2, 0, 1, 0, 0, 121, 1.0708
114, 2, 0, 1, 0, 0, 121, 1.0614
115, 1, 1, 1, 0, 0, 122, 1.06087
116, 2, 0, 1, 0, 0, 122, 1.05172
117, 1, 1, 1, 0, 0, 123, 1.05128
118, 2, 0, 1, 0, 0, 123, 1.04237
119, 0, 2, 0, 0, 0, 125, 1.05042
120, 1, 0, 1, 0, 0, 125, 1.04167
121, 0, 2, 0, 0, 0, 127, 1.04959
122, 2, 2, 0, 0, 0, 129, 1.05738
123, 0, 1, 1, 0, 0, 130, 1.05691
124, 1, 1, 1, 0, 0, 131, 1.05645
125, 1, 1, 1, 0, 0, 132, 1.056
126, 1, 1, 1, 0, 0, 133, 1.05556
127, 0, 2, 1, 0, 0, 135, 1.06299
128, 1, 1, 2, 0, 0, 136, 1.0625
129, 1, 2, 2, 0, 0, 138, 1.06977
130, 1, 2, 2, 0, 0, 140, 1.07692
131, 1, 2, 1, 0, 0, 142, 1.08397
132, 0, 2, 1, 0, 0, 144, 1.09091
133, 0, 2, 1, 0, 0, 146, 1.09774
134, 0, 2, 1, 0, 0, 148, 1.10448
135, 0, 2, 2, 0, 0, 150, 1.11111
136, 1, 2, 1, 0, 0, 152, 1.11765
137, 2, 0, 1, 0, 0, 152, 1.10949
138, 0, 2, 1, 0, 0, 154, 1.11594
139, 2, 0, 1, 0, 0, 154, 1.10791
140, 2, 0, 1, 0, 0, 154, 1.1
141, 2, 0, 1, 0, 0, 154, 1.0922
142, 2, 0, 1, 0, 0, 154, 1.08451
143, 0, 2, 1, 0, 0, 156, 1.09091
144, 0, 2, 0, 0, 0, 158, 1.09722
145, 2, 2, 1, 0, 0, 160, 1.10345
146, 1, 1, 1, 0, 0, 161, 1.10274
147, 0, 2, 0, 0, 0, 163, 1.10884
148, 0, 1, 1, 0, 0, 164, 1.10811
149, 1, 1, 1, 0, 0, 165, 1.10738
150, 0, 2, 2, 0, 0, 167, 1.11333
151, 1, 2, 1, 0, 0, 169, 1.11921
152, 1, 1, 1, 0, 0, 170, 1.11842
153, 2, 0, 0, 0, 0, 170, 1.11111
154, 1, 0, 1, 0, 0, 170, 1.1039
155, 0, 2, 2, 0, 0, 172, 1.10968
156, 0, 0, 1, 0, 0, 172, 1.10256
